店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
小派鸡排(二号路店),金湖苑小区东南门旁,30.657008,114.220201,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
凤爪王,奥园东路与碧水南路交叉口东南20米,30.655366,114.238744,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
云轩阁茶楼棋牌(马池路店),马池中路汉口印象一期,30.656484,114.220126,东西湖区,武汉市,湖北省,餐饮服务;茶艺馆;茶艺馆
友锅卤虾,金地北辰阅风华1栋2商,30.655329,114.238745,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
长发家常菜,美联奥林匹克花园二期第30幢1层商5号,30.654141,114.23807,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
原始烧烤(金银潭永旺店),丽水家园商服中心38号,30.65073,114.22557,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
依慧农家菜(沿海丽水佳园店),马池路特1号丽水佳园s栋1层36室,30.650565,114.225885,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
王师傅香辣虾(沿海丽水佳园店),金银湖马池路特1号沿海丽水佳园,30.650581,114.225817,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
川湘菜馆(武汉东西湖区),马池路丽水佳园商铺35号,30.650569,114.225792,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
毅先生的小火锅(金银湖店),马池路特1号沿海丽水佳园商服中心二楼(丽水招待所旁),30.650445,114.226133,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
黄记炸酱面馆(沿海丽水佳园店),金银潭大道1附1号附近,30.650581,114.225659,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
回民烧烤(丽水佳园店),马池路特一号丽水佳园S栋商业服务中心25号,30.650572,114.225986,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
小四川(丽水佳园店),马池路丽水佳园商服中心34号,30.650397,114.225931,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;四川菜(川菜)
小桃园汤大人(美联·奥林匹克花园二期店),将军路街奥园西路2号美联奥林匹克花园二期29栋商4,30.653323,114.237769,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
星时尚海鲜餐厅,汉口印象10栋(马池中路),30.656003,114.219975,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;海鲜酒楼
牛杂牛骨头(金地北辰阅风华店),奥园东路与碧水南路交叉口东南60米,30.655103,114.238948,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
阿林烧烤(马池路店),金银湖街马池路1号附32号,30.650416,114.225744,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
KO熊·牛排手作意面(金银潭永旺店),马池特1号丽水佳园商服中心32铺,30.650283,114.226024,东西湖区,武汉市,湖北省,餐饮服务;外国餐厅;西餐厅(综合风味)
蒸福包子(汀香北路店),金银湖街道马池还建小区金湖苑西门,30.657463,114.219564,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
洋洋牛杂(沿海丽水佳园店),利水佳园商业街11号门面,30.650401,114.225659,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
疆小丫·新疆炒米粉,丽水家园S栋商业服务中心30号,30.650292,114.22594,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
本味家常菜,汀香北路与二号路交叉口东南100米,30.655935,114.219896,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
徽丫头砂锅麻辣烫(永旺店),金地北辰阅风华5-11号门面,30.654945,114.238988,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;综合酒楼
虾王赵(金银湖店),汀香北路金湖苑7附9商铺,30.65866,114.219438,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
常青九村(金湖苑小区店),马池西路万丰丰泽园,30.657945,114.219429,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
蔡甸郭记牛肉面馆(金湖苑店),汀香北路银湖苑小区西门5-10号,30.657619,114.219452,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
荆楚园餐馆(马池路店),金湖苑小区西门北80米,30.658203,114.219405,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
牧羊记(金湖苑小区店),马池中路汀香北路6号,30.658148,114.219405,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
蔡明纬(马池路店),马池还建小区金湖苑5-6,30.657774,114.219423,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
柳三哥生烫牛腰牛肉面(金银湖店),金湖苑小区西门旁,30.657884,114.219414,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
牛肉热干面(金湖苑小区店),金湖苑小区西门西北60米,30.658019,114.219405,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
一品香热干面大王蔡甸牛肉牛骨头面(金银湖店),汀香北路与马池北路交叉口南150米,30.65798,114.219405,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
